"species","longitude","latitude","ID","Bio3","Bio4","Bio7","Bio9","Bio13","Bio14","Bio15","Bio18","Settlement_dist","River_dist","Road_dist"
"elephant",36.06773333,-3.68508333,51,71.4859466552734,161.144119262695,16.5999984741211,19.716667175293,159,1,91.3685531616211,341,2612.40112304688,3333.10595703125,0.00833333376795053
"elephant",35.92563333,-3.78181667,52,70.7304611206055,157.55891418457,16.1999988555908,20.2000007629395,166,3,87.6408157348633,362,921.482116699219,0,0
"elephant",36.07108333,-3.67386667,53,71.6365432739258,160.99772644043,16.5999984741211,19.8333339691162,175,2,89.8400344848633,371,1851.56091308594,2915.33569335938,0.00833333376795053
"elephant",35.92596667,-3.52173333,54,70.0828170776367,155.626800537109,16.1000003814697,20.3500003814697,156,1,92.1270904541016,325,7600.8603515625,0,0.053359366953373
"elephant",35.94965,-3.58566667,55,70.9839324951172,155.896728515625,16.6000003814697,20.3999996185303,155,1,91.504768371582,325,5379.82373046875,0,0.0448763743042946
"elephant",35.86578333,-3.41915,56,67.8970947265625,160.139602661133,14.8999996185303,19.8999996185303,135,1,91.1290130615234,297,4699.51171875,0,0.0117851132526994
"elephant",35.85085,-3.4009,57,68.9692993164062,156.495727539062,15.2000007629395,20.0166664123535,137,1,91.9923324584961,292,2764.42309570312,921.474548339844,0
"elephant",35.93265,-3.52855,58,70.1863327026367,155.351516723633,16.1000003814697,20.3666667938232,152,1,92.1293640136719,321,8497.533203125,921.476989746094,0.0589255653321743
"elephant",35.93496667,-3.8768,59,68.7637939453125,163.447692871094,15.1000003814697,19.8500003814697,141,1,89.568733215332,326,3326.95776367188,925.560363769531,0
"elephant",35.92411667,-3.92338333,60,70.1525115966797,160.720443725586,15.2999992370605,20.0166664123535,144,1,90.1310501098633,332,4135.4482421875,0,0.00833333376795053
"elephant",35.9244,-3.84241667,61,68.1869354248047,166.384796142578,14.8000001907349,19.8166656494141,143,1,90.138557434082,326,7437.32470703125,921.483764648438,0
"elephant",36.01095,-3.55206667,62,70.9839324951172,152.628494262695,16.6000003814697,20.3500003814697,159,1,94.0694961547852,230,10184.8828125,0,0.0117851132526994
"elephant",36.00783333,-3.66125,63,70.7593688964844,158.804122924805,16.8999996185303,20.2666664123535,151,1,91.3685455322266,323,1306.21545410156,0,0.00833333376795053
"elephant",36.16786667,-3.70598333,64,71.3701400756836,161.576049804688,16.2999992370605,19.533332824707,160,1,92.2621383666992,344,7600.77685546875,0,0.025000000372529
"elephant",35.99288333,-3.75065,65,71.4430847167969,156.275299072266,16.4000015258789,20.0499992370605,153,1,90.4657974243164,338,7631.35107421875,1842.96301269531,0.00833333376795053
"elephant",36.06983333,-3.55681667,66,71.7871475219727,153.442810058594,16.6000003814697,20.0666656494141,149,1,92.4572219848633,235,3703.59375,921.477478027344,0
"elephant",36.08921667,-3.48768333,67,70.6709899902344,153.583465576172,15.4000005722046,19.3999996185303,181,2,91.9799880981445,257,7600.84912109375,2612.65698242188,0.0416666679084301
"elephant",36.07326667,-3.51763333,68,71.3414611816406,154.284759521484,16.4000015258789,20.0833320617676,154,1,92.4921646118164,234,5225.19970703125,0,0.00833333376795053
"elephant",36.0523,-3.50596667,69,71.3541641235352,152.628494262695,16,19.9500007629395,161,1,94.2847213745117,236,7837.833984375,0,0.00833333376795053
"elephant",35.99836667,-3.63966667,70,70.5357131958008,157.910125732422,16.7999992370605,20.2333335876465,149,1,91.1034774780273,321,1842.95886230469,2764.43701171875,0
"elephant",35.98338333,-3.67791667,71,70.6862716674805,159.064498901367,17,20.3166675567627,151,1,91.5069046020508,327,2915.33349609375,921.480041503906,0.00833333376795053
"elephant",36.04635,-3.67455,72,71.5773773193359,161.068298339844,16.8000011444092,20,158,1,91.3014068603516,339,925.780456542969,2062.40771484375,0.00833333376795053
